NO2,C2H5OH,VOC,CO,Alcohol,LPG
144,178,394,784,1,18
145,178,395,784,1,19
144,178,396,785,1,19
145,178,398,785,1,20
146,178,400,785,1,19
146,179,401,786,2,19
147,179,402,786,1,19
147,179,402,786,1,19
146,179,402,785,1,18
147,179,402,786,1,19
148,180,402,786,1,19
147,180,402,786,1,19
148,180,401,786,1,19
148,180,401,786,1,19
148,180,401,786,1,19
148,180,399,785,1,19
148,180,401,785,1,19
149,180,403,785,1,19
151,180,407,786,1,19
152,180,410,786,1,19
153,180,410,787,1,19
153,180,411,786,1,19
153,180,411,786,1,19
153,180,410,786,1,19
154,180,409,786,1,19
153,181,411,786,1,19
153,181,412,787,1,19
154,182,413,787,1,19
154,181,414,787,1,19
155,181,415,787,1,19
154,182,415,787,1,20
154,182,415,787,1,20
155,182,415,787,1,20
156,182,418,788,1,20
156,182,421,788,1,20
157,182,422,788,1,20
158,182,423,788,1,20
159,183,426,789,1,20
159,182,428,788,1,20
161,183,430,788,1,20
161,183,431,789,2,19
161,183,431,789,1,20
160,183,433,789,1,18
162,184,435,788,1,19
164,184,436,788,1,20
164,184,437,788,1,18
165,184,438,788,1,19
165,184,441,788,1,20
166,184,441,788,1,18
167,184,442,788,2,20
166,184,442,788,1,19
166,185,444,788,1,19
167,184,446,789,1,20
169,185,449,789,1,20
169,185,451,789,2,20
171,185,452,789,1,20
170,185,452,789,1,20
171,185,454,789,1,20
171,185,455,789,1,19
171,186,456,790,1,19
172,186,457,790,1,18
172,186,458,790,1,20
172,186,459,790,2,19
173,186,459,789,2,18
172,186,459,790,2,20
173,186,458,790,1,20
172,186,458,790,2,20
172,187,458,791,2,20
172,187,459,791,2,20
174,186,461,791,2,20
174,187,462,791,2,20
174,187,463,791,1,20
174,188,463,791,2,20
174,188,462,791,2,20
174,188,461,791,2,21
173,188,460,790,2,20
173,188,459,790,2,20
173,188,458,790,2,19
172,188,456,790,2,20
173,189,456,790,2,20
173,188,455,790,2,20
173,188,455,791,2,20
172,189,456,790,2,20
173,188,455,790,2,20
174,189,456,791,2,21
174,189,457,790,3,21
174,189,458,791,2,21
175,190,460,791,2,21
174,190,460,792,2,22
175,190,461,791,2,22
174,189,460,792,2,23
174,190,459,792,3,23
174,191,459,792,3,23
175,191,459,792,3,23
174,191,460,792,3,23
174,191,459,792,3,23
174,191,459,792,3,23
174,191,459,792,3,24
174,191,458,792,3,23
174,191,458,792,3,23
174,191,458,792,3,22
174,191,458,792,3,23
175,191,460,792,3,23
176,192,463,792,3,23
177,192,465,793,3,23
178,192,467,792,3,23
178,192,468,793,3,23
179,192,469,793,3,23
179,193,470,793,3,23
179,193,471,793,3,23
180,193,471,793,3,25
179,193,471,792,3,22
179,193,472,793,3,23
179,194,472,793,3,22
180,193,472,793,3,23
180,194,473,793,3,23
180,194,474,792,3,22
181,194,476,793,3,23
181,194,478,793,3,22
183,194,481,794,3,21
186,194,483,794,3,23
187,195,486,794,3,25
189,195,488,794,3,23
189,196,489,794,3,23
190,195,491,795,4,23
190,196,491,795,3,21
190,195,491,794,3,23
190,196,489,793,3,23
189,196,489,793,3,23
188,196,488,793,3,23
188,196,486,793,3,23
188,196,486,793,3,23
188,196,484,793,3,23
187,196,484,793,3,23
187,196,483,792,3,23
187,196,484,793,3,23
188,196,486,793,3,23
189,196,488,793,3,23
191,197,490,793,3,23
191,197,491,793,3,23
191,197,491,794,3,23
191,196,493,794,3,23
192,197,494,794,3,23
193,198,495,794,3,23
193,198,496,794,3,23
193,198,496,794,3,23
193,197,496,795,3,23
193,197,495,795,3,23
193,198,494,794,3,22
192,197,494,794,3,22
192,198,493,794,3,23
192,198,492,794,3,23
192,199,492,794,3,24
192,198,492,794,3,23
192,199,492,795,3,24
191,199,493,794,3,21
192,199,494,795,3,23
192,199,496,795,3,23
192,199,497,795,3,23
194,200,498,795,3,23
195,200,500,795,3,23
196,200,501,795,3,23
196,199,502,796,3,23
196,200,504,795,3,23
197,200,504,796,3,23
197,200,505,795,3,23
197,200,504,795,3,23
197,200,505,795,3,23
197,200,505,794,3,23
196,201,504,795,3,23
196,200,503,794,3,23
196,200,503,795,3,23
196,201,501,795,3,23
195,201,500,794,3,23
194,200,500,794,3,23
194,201,500,794,3,23
194,201,500,795,3,23
195,201,502,794,3,22
195,201,503,794,3,23
195,201,503,794,3,23
196,201,504,795,3,23
196,202,506,796,3,23
197,202,506,796,3,23
197,202,507,797,3,23
197,202,508,796,3,23
197,202,510,797,3,23
198,202,512,798,3,23
199,202,513,798,3,23
200,203,515,797,3,23
200,202,516,798,3,23
200,203,516,797,3,23
200,203,517,798,3,23
201,203,517,798,3,23
201,203,518,797,3,23
201,203,517,797,4,23
201,203,517,797,3,23
201,204,517,797,3,23
200,204,516,797,3,22
200,203,517,797,3,23
200,204,517,797,3,23
200,204,517,797,3,24
201,203,518,797,3,23
199,204,517,797,3,23
199,204,517,796,3,22
199,204,516,796,3,23
199,204,514,796,3,21
197,204,512,796,3,23
198,204,511,795,3,24
197,204,510,795,3,23
197,204,512,797,3,23
197,204,512,796,2,22
197,204,512,796,3,23
197,205,512,797,3,23
198,205,513,797,3,23
199,204,513,797,3,23
200,205,515,798,3,23
199,205,515,798,3,23
201,205,516,798,3,23
202,206,516,799,3,23
202,205,517,797,3,23
201,205,516,798,4,23
201,206,515,798,3,23
201,206,514,799,3,23
202,206,514,798,3,23
201,206,515,799,3,23
202,206,517,799,3,23
204,207,519,798,3,23
204,207,520,799,3,23
205,207,522,799,3,23
205,207,522,798,3,21
205,207,522,798,3,23
204,207,521,798,3,23
204,207,520,798,3,26
204,208,521,798,3,23
204,207,520,798,3,24
203,207,521,798,3,23
204,208,521,798,3,23
203,208,522,797,5,23
203,207,521,797,3,23
203,208,521,797,3,23
202,208,520,797,3,23
202,207,519,797,3,23
202,207,520,797,4,23
202,207,521,797,3,23
203,207,521,797,3,23
204,207,522,797,3,25
203,207,523,797,3,23
202,207,522,797,3,23
202,207,522,797,3,23
202,208,522,797,3,23
202,208,522,797,3,23
202,208,521,797,3,24
201,208,521,797,3,23
203,208,523,797,3,23
203,208,524,797,3,23
204,208,524,798,3,23
205,209,525,797,3,23
206,208,526,798,3,24
206,209,526,798,3,23
206,209,526,798,3,24
207,209,527,798,3,24
206,209,527,798,3,23
206,209,526,798,3,24
205,209,525,798,3,23
205,209,525,798,3,22
205,209,523,798,3,23
204,209,523,797,3,23
203,209,523,798,3,23
203,209,521,797,3,23
203,210,521,797,3,23
203,210,520,797,3,26
203,210,520,797,3,24
203,210,520,798,3,23
203,210,520,797,3,23
203,210,519,798,3,23
203,210,518,798,3,23
202,210,518,797,3,23
202,210,517,798,4,23
202,210,518,798,3,24
203,210,519,798,3,24
202,210,520,798,4,23
204,210,521,798,3,24
204,211,523,797,3,24
205,210,523,798,3,23
205,211,522,798,3,24
205,211,522,798,3,24
205,211,522,799,3,25
204,211,522,799,3,23
205,211,523,799,3,23
204,211,524,799,3,24
204,211,525,798,3,24
205,212,524,799,3,23
204,212,525,799,3,23
205,211,526,799,3,24
204,212,525,798,4,23
204,212,525,798,3,24
204,212,525,798,3,24
204,212,525,798,3,23
204,212,525,799,3,24
204,212,525,799,3,23
205,212,524,799,3,24
204,212,523,799,3,24
204,212,522,799,3,24
204,212,521,800,3,23
203,213,522,799,3,24
203,213,521,799,3,24
203,213,521,799,3,23
203,213,522,799,3,24
204,213,523,799,3,24
205,213,524,799,3,23
205,213,526,799,3,24
206,213,528,799,3,24
208,213,529,800,3,24
208,213,530,800,3,24
208,214,530,800,3,23
208,214,531,800,4,24
209,214,532,800,3,24
209,214,532,800,3,24
209,214,532,799,3,24
209,214,534,800,3,24
210,214,534,800,3,24
209,214,534,800,3,24
209,214,534,800,3,24
209,214,534,799,3,24
208,215,534,800,3,24
209,215,534,800,3,24
208,215,535,800,3,25
208,215,535,801,3,24
208,215,535,800,3,24
208,215,535,801,3,24
208,215,535,800,3,24
207,215,535,800,3,24
207,215,534,800,3,24
207,215,534,801,3,24
207,215,534,801,3,24
208,215,535,801,3,24
209,215,536,801,3,24
210,215,537,802,4,24
211,216,538,801,3,24
212,216,539,801,3,24
212,216,538,801,3,22
212,216,538,802,3,24
212,217,538,801,3,24
212,216,537,801,3,23
212,217,536,801,3,23
211,217,536,801,3,24
211,217,534,801,4,24
211,217,533,801,3,23
211,217,533,801,4,24
211,217,532,801,3,24
210,217,532,801,3,24
210,217,532,801,3,24
210,217,533,801,3,24
211,218,533,801,3,24
211,217,533,801,3,24
209,218,531,801,3,24
209,218,531,801,3,23
209,218,531,801,3,23
209,218,530,800,3,24
208,217,530,801,4,26
209,217,531,801,3,24
209,217,531,801,4,24
210,218,533,801,3,24
212,218,535,802,3,24
214,218,536,802,4,24
214,218,536,802,4,24
215,219,537,803,3,24
216,219,538,803,4,24
216,219,539,803,4,24
216,219,539,803,3,24
216,219,540,802,3,24
216,218,541,803,3,24
215,219,542,802,3,25
215,219,543,802,3,24
216,219,544,802,3,24
216,219,545,803,4,23
218,219,546,802,3,24
217,219,546,802,4,24
217,219,546,802,4,24
216,219,545,801,3,24
216,219,544,802,4,24
215,219,543,801,4,24
214,219,542,801,3,23
213,219,541,801,3,24
213,219,541,801,4,24
212,219,541,801,3,24
212,218,541,801,3,24
212,219,542,801,4,24
212,219,542,801,3,24
212,219,542,801,3,24
212,219,542,802,4,24
211,219,541,801,4,24
211,219,541,801,3,24
211,219,541,801,3,24
210,219,542,800,4,24
210,219,541,800,3,24
209,219,541,800,4,23
208,219,540,799,3,24
207,218,539,800,4,24
208,219,539,799,4,24
207,218,539,799,4,24
207,218,538,799,4,24
206,218,537,799,3,24
206,218,536,799,3,24
205,218,536,799,5,24
205,218,535,798,4,24
205,218,534,799,3,24
204,218,533,799,4,24
205,218,534,800,4,24
207,219,537,800,4,24
209,218,538,801,4,24
210,219,540,802,4,25
212,219,541,801,4,24
213,219,542,801,4,26
214,219,544,802,4,25
214,219,544,802,4,24
215,220,545,801,4,24
215,220,547,802,4,24
215,220,547,801,4,27
215,220,548,802,4,24
215,220,548,802,5,24
215,220,548,801,4,24
213,220,547,802,4,27
214,220,546,801,4,24
213,220,545,801,4,25
212,220,544,800,4,22
212,219,543,800,4,24
212,220,543,800,3,24
212,220,543,800,3,24
212,220,543,800,4,24
211,220,542,800,4,24
210,220,542,800,4,24
211,220,541,801,4,23
211,220,542,800,4,24
211,220,542,800,4,24
210,220,543,801,4,24
211,220,544,801,4,26
210,220,545,801,4,24
212,220,545,801,4,24
211,220,546,802,3,24
212,221,547,801,4,24
212,220,547,802,3,24
211,221,547,802,3,24
212,221,548,802,4,24
212,221,548,802,4,24
212,221,547,802,3,24
212,221,547,802,3,24
212,221,546,801,3,26
212,220,545,802,3,24
211,221,545,802,3,25
212,222,545,802,5,24
211,221,544,802,4,24
211,222,545,802,3,24
213,221,546,802,4,24
215,221,547,803,4,24
215,222,548,803,4,26
216,222,549,802,4,24
217,222,550,803,3,25
219,222,551,803,3,24
221,222,553,804,3,24
222,222,554,804,3,24
223,223,555,803,4,24
223,223,555,803,3,24
